STAZIONE;SENSORE;DATA;ORA;VALORE
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;01:00;0
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;02:00;0
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;03:00;0
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;04:00;0
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;05:00;0
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;06:00;0
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;07:00;0
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;08:00;0
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;09:00;45
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;10:00;230
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;11:00;336
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;12:00;408
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;13:00;420
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;14:00;373
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;15:00;277
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;16:00;143
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;17:00;21
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;18:00;0
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;19:00;0
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;20:00;0
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;21:00;0
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;22:00;0
Legnaro;Radiazione solare globale somma (W/m2);01/01/2005;23:00;0
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;00:00;0
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;01:00;0
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;02:00;0
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;03:00;0
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;04:00;0
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;05:00;0
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;06:00;0
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;07:00;0
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;08:00;0
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;09:00;21
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;10:00;155
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;11:00;326
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;12:00;389
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;13:00;399
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;14:00;363
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;15:00;221
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;16:00;89
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;17:00;19
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;18:00;0
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;19:00;0
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;20:00;0
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;21:00;0
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;22:00;0
Legnaro;Radiazione solare globale somma (W/m2);02/01/2005;23:00;0
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;00:00;0
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;01:00;0
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;02:00;0
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;03:00;0
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;04:00;0
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;05:00;0
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;06:00;0
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;07:00;0
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;08:00;0
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;09:00;70
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;10:00;225
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;11:00;281
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;12:00;399
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;13:00;418
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;14:00;377
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;15:00;274
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;16:00;143
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;17:00;23
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;18:00;0
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;19:00;0
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;20:00;0
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;21:00;0
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;22:00;0
Legnaro;Radiazione solare globale somma (W/m2);03/01/2005;23:00;0
Legnaro;Radiazione solare globale somma (W/m2);04/01/2005;00:00;0
Legnaro;Radiazione solare globale somma (W/m2);04/01/2005;01:00;0
Legnaro;Radiazione solare globale somma (W/m2);04/01/2005;02:00;0
