STAZIONE;SENSORE;DATA;ORA;VALORE
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;01:00;1.1
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;02:00;1.1
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;03:00;0.5
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;04:00;-0.0
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;05:00;-0.1
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;06:00;0.7
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;07:00;1.3
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;08:00;0.9
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;09:00;1.1
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;10:00;3.4
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;11:00;5.4
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;12:00;7.5
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;13:00;8.8
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;14:00;9.4
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;15:00;9.8
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;16:00;9.3
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;17:00;6.3
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;18:00;4.0
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;19:00;3.2
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;20:00;2.7
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;21:00;2.1
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;22:00;0.9
Legnaro;Temperatura aria a 2m media (°C);01/01/2005;23:00;0.4
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;00:00;0.0
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;01:00;-0.4
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;02:00;-0.3
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;03:00;-0.1
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;04:00;-0.4
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;05:00;-0.4
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;06:00;0.0
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;07:00;-0.1
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;08:00;-0.1
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;09:00;-0.2
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;10:00;0.5
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;11:00;3.8
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;12:00;5.7
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;13:00;7.4
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;14:00;8.4
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;15:00;8.1
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;16:00;7.2
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;17:00;6.0
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;18:00;3.3
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;19:00;2.3
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;20:00;1.8
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;21:00;1.1
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;22:00;1.1
Legnaro;Temperatura aria a 2m media (°C);02/01/2005;23:00;1.6
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;00:00;2.4
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;01:00;2.8
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;02:00;3.0
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;03:00;2.2
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;04:00;1.7
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;05:00;0.9
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;06:00;0.4
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;07:00;0.1
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;08:00;0.5
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;09:00;0.7
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;10:00;4.3
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;11:00;6.1
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;12:00;7.5
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;13:00;10.0
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;14:00;10.5
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;15:00;9.6
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;16:00;9.0
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;17:00;6.9
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;18:00;5.1
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;19:00;3.1
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;20:00;2.9
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;21:00;2.1
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;22:00;1.2
Legnaro;Temperatura aria a 2m media (°C);03/01/2005;23:00;0.7
Legnaro;Temperatura aria a 2m media (°C);04/01/2005;00:00;-0.2
Legnaro;Temperatura aria a 2m media (°C);04/01/2005;01:00;-0.5
Legnaro;Temperatura aria a 2m media (°C);04/01/2005;02:00;-1.1
Legnaro;Temperatura aria a 2m media (°C);04/01/2005;03:00;-0.9
Legnaro;Temperatura aria a 2m media (°C);04/01/2005;04:00;-0.3
Legnaro;Temperatura aria a 2m media (°C);04/01/2005;05:00;-1.6
Legnaro;Temperatura aria a 2m media (°C);04/01/2005;06:00;-1.8
Legnaro;Temperatura aria a 2m media (°C);04/01/2005;07:00;-1.9
Legnaro;Temperatura aria a 2m media (°C);04/01/2005;08:00;-1.6
Legnaro;Temperatura aria a 2m media (°C);04/01/2005;09:00;-1.5
