STAZIONE;SENSORE;DATA;ORA;VALORE
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;01:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;02:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;03:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;04:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;05:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;06:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;07:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;08:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;09:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;10:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;11:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;12:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;13:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;14:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;15:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;16:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;17:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;18:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;19:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;20:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;21:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;22:00;99999
Legnaro;Umidità relativa a 2m massima (%);01/01/2005;23:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;00:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;01:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;02:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;03:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;04:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;05:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;06:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;07:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;08:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;09:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;10:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;11:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;12:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;13:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;14:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;15:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;16:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;17:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;18:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;19:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;20:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;21:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;22:00;99999
Legnaro;Umidità relativa a 2m massima (%);02/01/2005;23:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;00:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;01:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;02:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;03:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;04:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;05:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;06:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;07:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;08:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;09:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;10:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;11:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;12:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;13:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;14:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;15:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;16:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;17:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;18:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;19:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;20:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;21:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;22:00;99999
Legnaro;Umidità relativa a 2m massima (%);03/01/2005;23:00;99999
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;00:00;99999
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;01:00;100
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;02:00;100
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;03:00;100
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;04:00;100
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;05:00;100
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;06:00;100
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;07:00;100
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;08:00;100
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;09:00;100
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;10:00;100
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;11:00;100
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;12:00;78
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;13:00;72
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;14:00;76
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;15:00;74
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;16:00;69
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;17:00;76
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;18:00;83
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;19:00;90
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;20:00;92
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;21:00;93
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;22:00;94
Legnaro;Umidità relativa a 2m massima (%);04/01/2005;23:00;94
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;00:00;94
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;01:00;94
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;02:00;93
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;03:00;95
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;04:00;96
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;05:00;96
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;06:00;96
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;07:00;96
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;08:00;96
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;09:00;95
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;10:00;95
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;11:00;90
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;12:00;82
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;13:00;77
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;14:00;74
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;15:00;77
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;16:00;79
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;17:00;88
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;18:00;95
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;19:00;96
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;20:00;97
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;21:00;98
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;22:00;98
Legnaro;Umidità relativa a 2m massima (%);05/01/2005;23:00;97
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;00:00;98
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;01:00;98
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;02:00;98
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;03:00;98
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;04:00;98
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;05:00;97
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;06:00;97
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;07:00;96
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;08:00;95
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;09:00;96
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;10:00;97
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;11:00;92
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;12:00;90
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;13:00;82
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;14:00;80
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;15:00;88
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;16:00;96
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;17:00;97
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;18:00;98
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;19:00;98
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;20:00;98
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;21:00;98
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;22:00;98
Legnaro;Umidità relativa a 2m massima (%);06/01/2005;23:00;98
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;00:00;98
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;01:00;98
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;02:00;98
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;03:00;98
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;04:00;97
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;05:00;97
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;06:00;97
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;07:00;97
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;08:00;96
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;09:00;96
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;10:00;96
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;11:00;95
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;12:00;93
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;13:00;90
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;14:00;88
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;15:00;86
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;16:00;96
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;17:00;98
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;18:00;98
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;19:00;98
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;20:00;98
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;21:00;98
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;22:00;98
Legnaro;Umidità relativa a 2m massima (%);07/01/2005;23:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;00:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;01:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;02:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;03:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;04:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;05:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;06:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;07:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;08:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;09:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;10:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;11:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;12:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;13:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;14:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;15:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;16:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;17:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;18:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;19:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;20:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;21:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;22:00;98
Legnaro;Umidità relativa a 2m massima (%);08/01/2005;23:00;98
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;00:00;98
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;01:00;98
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;02:00;98
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;03:00;98
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;04:00;98
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;05:00;98
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;06:00;98
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;07:00;98
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;08:00;98
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;09:00;98
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;10:00;98
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;11:00;98
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;12:00;92
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;13:00;86
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;14:00;81
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;15:00;80
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;16:00;83
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;17:00;92
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;18:00;95
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;19:00;96
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;20:00;97
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;21:00;98
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;22:00;98
Legnaro;Umidità relativa a 2m massima (%);09/01/2005;23:00;98
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;00:00;98
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;01:00;98
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;02:00;98
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;03:00;98
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;04:00;98
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;05:00;98
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;06:00;98
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;07:00;98
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;08:00;98
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;09:00;98
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;10:00;98
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;11:00;96
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;12:00;81
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;13:00;77
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;14:00;75
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;15:00;70
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;16:00;76
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;17:00;80
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;18:00;87
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;19:00;95
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;20:00;96
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;21:00;98
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;22:00;97
Legnaro;Umidità relativa a 2m massima (%);10/01/2005;23:00;98
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;00:00;98
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;01:00;98
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;02:00;98
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;03:00;98
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;04:00;98
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;05:00;98
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;06:00;98
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;07:00;98
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;08:00;98
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;09:00;98
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;10:00;98
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;11:00;98
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;12:00;98
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;13:00;86
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;14:00;79
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;15:00;77
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;16:00;78
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;17:00;79
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;18:00;82
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;19:00;91
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;20:00;93
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;21:00;93
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;22:00;93
Legnaro;Umidità relativa a 2m massima (%);11/01/2005;23:00;87
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;00:00;82
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;01:00;83
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;02:00;85
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;03:00;84
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;04:00;89
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;05:00;92
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;06:00;95
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;07:00;96
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;08:00;97
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;09:00;98
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;10:00;98
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;11:00;98
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;12:00;98
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;13:00;98
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;14:00;98
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;15:00;98
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;16:00;98
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;17:00;98
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;18:00;98
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;19:00;98
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;20:00;98
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;21:00;98
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;22:00;98
Legnaro;Umidità relativa a 2m massima (%);12/01/2005;23:00;98
Legnaro;Umidità relativa a 2m massima (%);13/01/2005;00:00;98
Legnaro;Umidità relativa a 2m massima (%);13/01/2005;01:00;98
Legnaro;Umidità relativa a 2m massima (%);13/01/2005;02:00;98
Legnaro;Umidità relativa a 2m massima (%);13/01/2005;03:00;98
Legnaro;Umidità relativa a 2m massima (%);13/01/2005;04:00;98
