STAZIONE;SENSORE;DATA;ORA;VALORE
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;01:00;1.8
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;02:00;1.3
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;03:00;1.8
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;04:00;1.3
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;05:00;1.3
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;06:00;1.3
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;07:00;1.4
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;08:00;1.5
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;09:00;1.0
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;10:00;0.7
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;11:00;0.6
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;12:00;0.9
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;13:00;1.4
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;14:00;1.9
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;15:00;2.0
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;16:00;1.6
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;17:00;1.5
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;18:00;1.5
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;19:00;1.8
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;20:00;1.1
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;21:00;0.3
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;22:00;0.3
Legnaro;Velocità vento 10m media aritm. media (m/s);01/01/2005;23:00;0.2
Legnaro;Velocità vento 10m media aritm. media (m/s);02/01/2005;00:00;0.3
