,m_db,sd_db,m_wb,sd_wb,m_delta,sd_delta,p5_db,p95_db,ac1_db,amp_db,amp_wb,h1_db,h1_wb
T1,19.959211005584805,7.905808708500579,16.19392185214504,5.741873819440956,3.765289153439765,2.9677257735644735,7.863017559051514,33.27680969238281,0.9896587430592367,9.977483010292053,4.6731912444035215,0.07697646964991077,0.09692136605434594
T100,20.057456885703118,7.598327744733529,16.014226774205067,5.68690440729224,4.043230111498053,2.6464385297742608,8.349998474121094,32.59309768676758,0.9917076629211529,8.423602580030758,4.179241804281871,0.08508628323486066,0.10183123180863347
T101,19.454950381978175,7.381089987910198,16.31863102014213,5.6948790163403205,3.136319361836045,2.5989876003799224,7.951938152313232,31.625829696655273,0.9917445756423483,8.586669565240543,5.2005103896061575,0.08508602109673656,0.08706834343341786
T102,20.060497522395654,7.759381156116673,15.904986545778364,5.693309114259828,4.1555109766172915,2.7875600931289717,8.233335494995117,33.04460525512695,0.9908715870239285,9.053705424070358,4.462226186196009,0.08114523237062596,0.09890967135388391
T103,19.60226063636138,7.195483675741066,15.943092060512708,5.55458547875062,3.6591685758486707,2.4322251354241367,8.299447059631348,31.18161964416504,0.9931059554555614,7.596323410669963,4.066782573858897,0.08741882509324779,0.10145604897566952
T110,19.891313519467047,7.827218509265891,16.190708588440852,5.711034085404216,3.7006049310261937,2.9934451754162525,7.9596686363220215,32.920166015625,0.9903333443292596,9.91881984670957,4.426115934054057,0.07957343027936863,0.09994873525078646
T114,19.230059710514087,7.264811953530914,15.947121538282833,5.5733592763144895,3.2829381722312547,2.5620067161407523,7.9130635261535645,31.095733642578125,0.9927168718445621,7.920083915193875,4.0078690439462665,0.08743978973992259,0.10002534947250562
T116,20.132448483169586,7.9674522882879115,16.208903783498545,5.765149129005172,3.923544699671044,3.0545877068779412,7.889850616455078,33.35898971557617,0.9893580687709193,9.92745457291603,4.861916331450145,0.07644351668421843,0.09165683983274436
T16,19.812789469827575,7.948970563936496,16.111939818575458,5.818123583301965,3.7008496512521165,2.9165590116873203,7.588739395141602,33.01492691040039,0.9891953325027487,9.294832003613314,4.523693408071995,0.07827371426713249,0.09753055751118728
T17,19.42339862287927,7.706627888190978,15.61612568925719,5.702131972443651,3.8072729336220803,2.71303656962066,7.566652297973633,32.16612243652344,0.9898806264638189,9.622835453351339,4.7343983724713326,0.07751302238935182,0.09509959085609694
T2,20.371165870021308,7.769990874042123,16.055455306954677,5.748469796274523,4.315710563066633,2.7102538904930067,8.347328186035156,33.086708068847656,0.9907305861271807,8.941056830684344,4.395108056068421,0.08069746826765117,0.09989299590885928
